Year,fossil emissions excluding carbonation
1959,2.41666545551985
1960,2.56179621050006
1961,2.56942751478099
1962,2.66008623331397
1963,2.80186878147668
1964,2.95404422422084
1965,3.08670558686396
1966,3.23736585230515
1967,3.33960930142376
1968,3.52192568984189
1969,3.75568760954641
1970,4.06609071199089
1971,4.23110963754661
1972,4.42779468023639
1973,4.66252745551243
1974,4.64229861541286
1975,4.65337864391065
1976,4.90863673629626
1977,5.04766691361121
1978,5.20304449327971
1979,5.35016435877539
1980,5.31725999300728
1981,5.19021532800849
1982,5.1488463948662
1983,5.18174162489951
1984,5.36073380319431
1985,5.54179326425479
1986,5.62432119042192
1987,5.7985215403946
1988,6.02548713759235
1989,6.10779735317961
1990,6.20979810966115
1991,6.33992225109754
1992,6.15917002383121
1993,6.22225717795848
1994,6.28678359145295
1995,6.42043993523917
1996,6.61849423406246
1997,6.65828343663599
1998,6.64054193758811
1999,6.77770049903473
2000,6.95995845385593
2001,7.00734998447192
2002,7.16383445925011
2003,7.54602874032039
2004,7.81118793932549
2005,8.07644728852462
2006,8.3531023949233
2007,8.5970889778872
2008,8.74506073285122
2009,8.59532384711447
2010,9.09015501684522
2011,9.3986000400427
2012,9.53478530869257
2013,9.61584800980731
2014,9.6796383293055
2015,9.67882498947448
2016,9.67795459894739
2017,9.83227384306094
2018,10.0346465906979
2019,10.1091985229514
2020,9.55451389744253
2021,10.0481829803592
2022,10.1391333876525
